  0.200       1.550  1.0e-7    
  0.250       1.550  1.0e-7    
  0.300       1.540  1.0e-7    
  0.337       1.540  1.0e-7    
  0.400       1.540  1.0e-7    
  0.488       1.540  1.0e-7    
  0.515       1.530  1.0e-7    
  0.550       1.530  1.0e-7    
  0.633       1.520  1.0e-7    
  0.694       1.520  1.0e-7    
  0.860       1.520  1.5e-7    
  1.060       1.510  1.8e-6    
  1.300       1.500  1.7e-5    
  1.536       1.490  7.7e-5    
  1.800       1.480  7.6e-5    
  2.000       1.470  0.0010   
  2.250       1.460  0.0011   
  2.500       1.440  3.5e-4    
  2.700       1.410  0.0020   
  3.000       1.300  0.096     
  3.200       1.490  0.260     
  3.392       1.610  0.170     
  3.500       1.610  0.140     
  3.750       1.580  0.036     
  4.000       1.550  0.0140   
  4.500       1.500  0.0073   
  5.000       1.460  0.0065   
  5.500       1.410  0.008     
  6.000       1.350  0.013     
  6.200       1.310  0.018     
  6.500       1.190  0.049     
  7.200       1.930  0.540     
  7.900       1.360  0.075     
  8.200       1.160  0.120     
  8.500       0.900  0.290     
  8.700       0.710  0.650     
  9.000       0.980  1.70       
  9.200       2.100  1.90       
  9.500       2.700  0.590     
  9.800       2.390  0.230     
 10.000       2.190  0.130    
 10.591       1.970  0.056    
 11.000       1.900  0.043    
 11.500       1.840  0.027    
 12.500       1.750  0.020    
 13.000       1.720  0.020    
 14.000       1.650  0.020    
 14.800       1.560  0.024    
 15.000       1.530  0.026    
 16.400       2.770  0.580    
 17.200       2.130  0.058    
 18.000       1.820  0.025    
 18.500       1.760  0.020    
 20.000       1.690  0.020    
 21.300       1.650  0.025    
 22.500       1.610  0.032    
 25.000       1.550  0.050    
 27.900       1.450  0.094    
 30.000       1.350  0.170    
 35.000       1.420  0.580    
 40.000       2.140  1.12      
