    0.200	 1.394  1.50E-08      	      
    0.250	 1.351  8.60E-09		
    0.300	 1.334  5.50E-09		
    0.337	 1.326  4.50E-09		
    0.400	 1.320  2.71E-09		
    0.488	 1.313  1.75E-09		
    0.515	 1.312  2.19E-09		
    0.550	 1.311  3.11E-09		
    0.633	 1.308  1.09E-08		
    0.694	 1.306  2.62E-08		
    0.860	 1.303  2.15E-07		
    1.060	 1.300  1.96E-06		
    1.300	 1.295  1.32E-05		
    1.536	 1.290  6.10E-04		
    1.800	 1.282  1.13E-04		
    2.000	 1.273  1.61E-03		
    2.250	 1.256  2.13E-04		
    2.500	 1.225  7.95E-04		
    2.700	 1.163  0.00293		
    3.000	 1.045  0.429  		
    3.200	 1.652  0.283  		
    3.392	 1.510  0.0401 		
    3.500	 1.453  0.0161 		
    3.750	 1.391  0.0070 		
    4.000	 1.361  0.0100 		
    4.500	 1.340  0.0287 		
    5.000	 1.327  0.0120 		
    5.500	 1.299  0.0217 		
    6.000	 1.296  0.0647 		
    6.200	 1.313  0.0683 		
    6.500	 1.320  0.0559 		
    7.200	 1.318  0.0544 		
    7.900	 1.313  0.0479 		
    8.200	 1.306  0.0390 		
    8.500	 1.291  0.0391 		
    8.700	 1.282  0.0400 		
    9.000	 1.269  0.0429 		
    9.200	 1.261  0.0446 		
    9.500	 1.245  0.0459 		
    9.800	 1.219  0.0470 		
   10.000	 1.197  0.0510 		
   10.591	 1.098  0.131  		
   11.000	 1.093  0.239  		
   11.500	 1.176  0.360  		
   12.500	 1.387  0.422  		
   13.000	 1.472  0.389  		
   14.000	 1.569  0.283  		
   14.800	 1.579  0.191  		
   15.000	 1.572  0.177  		
   16.400	 1.531  0.125  		
   17.200	 1.534  0.107  		
   18.000	 1.522  0.0839 		
   18.500	 1.510  0.0760 		
   20.000	 1.504  0.0670 		
   21.300	 1.481  0.0385 		
   22.500	 1.455  0.0291 		
   25.000	 1.414  0.0299 		
   27.900	 1.358  0.0490 		
   30.000	 1.325  0.0650 		
   35.000	 1.226  0.155  		
   40.000	 1.202  0.344  		
   45.000	 1.299  0.601  		
   50.000	 1.629  0.543  		
   55.000	 1.767  0.420  		
   60.000	 1.585  0.390  		
   65.000	 1.748  0.490  		
   70.000	 1.869  0.399  		
   80.000	 1.903  0.235  		
   90.000	 1.856  0.165  		
  100.000	 1.832  0.139  		
  110.000	 1.821  0.126  		
  120.000	 1.819  0.120  		
  135.000	 1.819  0.108  		
  150.000	 1.823  0.0962 		
  165.000	 1.829  0.0846 		
  180.000	 1.832  0.0650 		
  200.000	 1.827  0.0452 		
  250.000	 1.807  0.0222 		
  300.000	 1.795  0.0153 		
  400.000	 1.786  0.0125 		
  500.000	 1.783  0.0106 		
  750.000	 1.782  0.0080 		
 1000.000	 1.781  0.0065 		
 1500.000	 1.782  0.0049 		
 2000.000	 1.782  0.0040 		
 3000.000	 1.782  0.0030 		
 5000.000	 1.783  0.0021 		
10000.000	 1.784  0.0013 		
20000.000	 1.784  7.9E-04 		
30000.000	 1.784  5.9e-04
	
