0.2	1.56	1.28
0.25	2.07	1.33
0.3	2.32	1.18
0.337	2.43	1.09
0.4	2.674	0.523
0.488	3.074	0.21
0.515	3.104	0.158
0.55	3.102	0.0925
0.633	3.007	0.00974
0.694	2.92	0.001
0.86	2.73	0.004
1.06	2.69	3e-05
1.3	2.66	1.8e-05
1.536	2.64	1.3e-05
1.8	2.62	1.1e-05
2	2.61	1e-05
2.25	2.61	1e-05
2.5	2.61	1e-05
2.7	2.61	1e-05
3	2.61	1e-05
3.2	2.61	1.1e-05
3.392	2.61	1.1e-05
3.5	2.61	1.2e-05
3.75	2.61	1.2e-05
4	2.67	6.7e-05
4.5	2.66	6e-05
5	2.65	5.3e-05
5.5	2.64	0.00062
6	2.62	0.0012
6.2	2.61	0.0015
6.5	2.59	0.0017
7.2	2.54	0.0018
7.9	2.49	0.0018
8.2	2.45	0.0031
8.5	2.42	0.0044
8.7	2.4	0.0057
9	2.37	0.007
9.2	2.34	0.0076
9.5	2.3	0.0085
9.8	2.26	0.0094
10	2.24	0.01
10.591	2.14	0.0145
11	2.069	0.0174
11.5	1.97	0.0216
12.5	1.76	0.0367
13	1.645	0.0477
14	1.225	0.0675
14.8	0.742	0.204
15	0.554	0.295
16.4	0.194	1.56
17.2	0.265	2.25
18	0.52	3.13
18.5	1.097	3.89
20	2.042	1.63
21.3	0.941	3.61
22.5	3.306	6.22
25	3.714	0.684
27.9	0.591	2.06
30	0.43	4.31
35	15.362	13.9
40	7.621	0.387
50	6.349	0.107
60	5.671	0.0533
80	5.266	0.029
100	5.122	0.0205
150	4.998	0.0122
200	4.958	0.00886
300	4.931	0.00576
