20	1.4986	0.067
20.41	1.4956	0.055
20.83	1.4877	0.045
22.22	1.4575	0.029
22.6	1.4486	0.0275
23.05	1.439	0.027
23.6	1.4282	0.0273
24.6	1.4102	0.0289
25	1.403	0.03
26	1.3854	0.034
28.57	1.3404	0.05122
31	1.2969	0.08615
33.33	1.2641	0.1348
34.48	1.253	0.1615
35.64	1.2445	0.1895
37	1.2371	0.2227
38.24	1.2317	0.2528
39.6	1.2243	0.2853
41.14	1.2054	0.324
42.76	1.1742	0.3945
43.58	1.1549	0.4521
44.58	1.1496	0.5535
45.5	1.1853	0.6782
46.15	1.2543	0.7684
46.71	1.3474	0.8254
47.36	1.4725	0.8458
48	1.5874	0.8158
48.78	1.6841	0.7414
50.03	1.7505	0.6191
51.28	1.7649	0.5353
52.75	1.7668	0.478
53.5	1.7687	0.4599
54.24	1.7792	0.4468
55	1.7955	0.4214
55.74	1.8052	0.386
56.4	1.8041	0.3508
57	1.794	0.3196
57.46	1.7805	0.2981
58.4	1.741	0.2659
59.29	1.693	0.2569
60	1.661	0.2785
61	1.6419	0.3076
61.25	1.6396	0.3146
62.5	1.6372	0.3471
63.78	1.6471	0.3748
64.67	1.6596	0.3902
65.58	1.6754	0.4024
66.55	1.6945	0.4115
67.6	1.7167	0.4167
69	1.7466	0.4167
70.53	1.778	0.4089
73	1.8185	0.383
75	1.8419	0.3543
76.29	1.8504	0.334
80	1.8617	0.2944
82.97	1.8669	0.2679
85	1.8688	0.2519
86.8	1.8699	0.239
90.8	1.8698	0.214
95.17	1.8681	0.1913
100	1.8654	0.1706
120	1.8499	0.1151
160	1.8268	0.06684
210	1.8114	0.04282
300	1.7989	0.02549
