20.8	0.1177	1.742
20.85	0.1219	1.811
20.9	0.1266	1.881
20.95	0.1319	1.954
21	0.1379	2.03
21.05	0.1446	2.108
21.1	0.1521	2.191
21.15	0.1606	2.277
21.2	0.1703	2.368
21.25	0.1812	2.464
21.3	0.1937	2.565
21.35	0.2081	2.673
21.4	0.2248	2.789
21.45	0.2442	2.914
21.5	0.267	3.048
21.55	0.2941	3.195
21.6	0.3267	3.356
21.65	0.3664	3.533
21.7	0.4154	3.731
21.75	0.4773	3.955
21.8	0.5569	4.209
21.85	0.6622	4.502
21.9	0.8059	4.846
21.95	1.01	5.253
22	1.314	5.742
22.05	1.793	6.326
22.1	2.595	6.983
22.15	3.966	7.519
22.2	5.976	7.259
22.25	7.562	5.603
22.3	7.753	3.682
22.35	7.25	2.412
22.4	6.658	1.671
22.45	6.139	1.225
22.5	5.709	0.9407
22.55	5.354	0.749
22.6	5.058	0.6136
22.65	4.807	0.5142
22.7	4.593	0.439
22.75	4.406	0.3806
22.8	4.243	0.3343
22.85	4.098	0.2969
22.9	3.968	0.2663
22.95	3.851	0.2408
23	3.745	0.2195
23.05	3.648	0.2015
23.1	3.558	0.1861
23.15	3.475	0.1728
23.2	3.398	0.1614
23.25	3.325	0.1515
23.3	3.257	0.1429
23.35	3.192	0.1354
23.4	3.131	0.1289
23.45	3.072	0.1233
23.5	3.015	0.1184
23.55	2.961	0.1142
23.6	2.908	0.1106
23.65	2.857	0.1076
23.7	2.806	0.1052
23.75	2.757	0.1033
23.8	2.708	0.102
23.85	2.659	0.1012
23.9	2.61	0.1009
23.95	2.651	0.1012
24	2.512	0.102
24.05	2.461	0.1036
24.1	2.409	0.1059
24.15	2.355	0.109
24.2	2.3	0.1131
24.25	2.241	0.1184
24.3	2.179	0.1252
24.35	2.112	0.1336
24.4	2.041	0.1444
24.45	1.962	0.1581
24.5	1.876	0.1757
24.55	1.779	0.1988
24.6	1.668	0.2298
24.65	1.54	0.273
24.7	1.39	0.336
24.75	1.214	0.4336
